Local time,Ask,Bid,AskVolume,BidVolume
09.04.2021 08:00:11.649 GMT+0100,3510.508,3489.7790000000005,0.02,0.02
09.04.2021 08:00:11.700 GMT+0100,3509.303,3489.82,0.02,0.02
09.04.2021 08:00:12.192 GMT+0100,3506.385,3494.7790000000005,0.0075,0.0075
09.04.2021 08:00:12.707 GMT+0100,3505.508,3494.82,0.0075,0.02
09.04.2021 08:00:15.509 GMT+0100,3505.5490000000004,3495.6150000000002,0.02,0.0075
09.04.2021 08:00:21.043 GMT+0100,3509.221,3496.697,0.02,0.02
09.04.2021 08:00:21.156 GMT+0100,3509.467,3499.738,0.02,0.02
09.04.2021 08:00:21.518 GMT+0100,3510.262,3499.533,0.02,0.02
09.04.2021 08:00:22.414 GMT+0100,3509.467,3499.451,0.0075,0.02
09.04.2021 08:00:31.140 GMT+0100,3504.262,3499.82,0.0075,0.0075
09.04.2021 08:00:31.190 GMT+0100,3504.1800000000003,3493.451,0.02,0.02
09.04.2021 08:00:31.260 GMT+0100,3505.5490000000004,3493.492,0.02,0.02
09.04.2021 08:00:31.519 GMT+0100,3506.467,3491.656,0.02,0.02
09.04.2021 08:00:31.698 GMT+0100,3505.508,3494.82,0.0075,0.0075
09.04.2021 08:00:32.564 GMT+0100,3504.467,3495,0.0075,0.02
09.04.2021 08:00:33.653 GMT+0100,3504.3440000000005,3490.533,0.02,0.02
09.04.2021 08:00:33.759 GMT+0100,3500.303,3490.738,0.0075,0.0075
09.04.2021 08:00:33.810 GMT+0100,3500.3440000000005,3489.738,0.02,0.02
09.04.2021 08:00:37.385 GMT+0100,3497,3489.697,0.0075,0.0075
09.04.2021 08:00:37.435 GMT+0100,3495.262,3481.492,0.02,0.02
09.04.2021 08:00:37.685 GMT+0100,3493.508,3481.451,0.0075,0.02
09.04.2021 08:00:41.800 GMT+0100,3493.3440000000005,3489.5,0.02,0.0075
09.04.2021 08:00:55.780 GMT+0100,3500.303,3489.7790000000005,0.02,0.02
09.04.2021 08:01:05.982 GMT+0100,3503.262,3490,0.02,0.02
09.04.2021 08:01:21.137 GMT+0100,3503.3440000000005,3490.697,0.02,0.0075
09.04.2021 08:01:27.740 GMT+0100,3505.426,3489.6150000000002,0.02,0.02
09.04.2021 08:01:27.808 GMT+0100,3505.262,3492.738,0.02,0.02
09.04.2021 08:01:37.559 GMT+0100,3501.508,3492.451,0.02,0.02
09.04.2021 08:02:19.090 GMT+0100,3501.262,3486.492,0.02,0.02
09.04.2021 08:02:19.141 GMT+0100,3501.5490000000004,3492.82,0.02,0.02
09.04.2021 08:02:26.409 GMT+0100,3500.426,3492.6150000000002,0.0075,0.0075
09.04.2021 08:02:26.459 GMT+0100,3499.426,3484.697,0.02,0.02
09.04.2021 08:02:29.113 GMT+0100,3500.221,3484.7790000000005,0.02,0.02
09.04.2021 08:02:30.032 GMT+0100,3499.221,3484.492,0.0075,0.02
09.04.2021 08:02:30.133 GMT+0100,3497.467,3485.738,0.02,0.02
09.04.2021 08:02:30.758 GMT+0100,3498.1800000000003,3485.697,0.02,0.02
09.04.2021 08:02:50.532 GMT+0100,3497.221,3485.738,0.0075,0.02
09.04.2021 08:02:54.910 GMT+0100,3497.467,3484.6150000000002,0.02,0.02
09.04.2021 08:02:55.008 GMT+0100,3493.303,3484.451,0.0075,0.0075
09.04.2021 08:02:55.058 GMT+0100,3493.221,3481.738,0.02,0.02
09.04.2021 08:02:55.109 GMT+0100,3491.385,3477.697,0.02,0.02
09.04.2021 08:02:57.056 GMT+0100,3490.3440000000005,3479.7790000000005,0.0075,0.0075
09.04.2021 08:02:57.157 GMT+0100,3493.426,3481.451,0.02,0.02
09.04.2021 08:02:57.284 GMT+0100,3493.385,3482.656,0.0075,0.0075
09.04.2021 08:02:57.335 GMT+0100,3495.508,3483,0.02,0.02
09.04.2021 08:02:57.898 GMT+0100,3495.262,3483.738,0.02,0.0075
09.04.2021 08:02:57.999 GMT+0100,3495.467,3482.492,0.02,0.02
09.04.2021 08:02:58.923 GMT+0100,3495.262,3487.656,0.02,0.0075
09.04.2021 08:03:02.118 GMT+0100,3496,3487.656,0.02,0.02
09.04.2021 08:03:03.096 GMT+0100,3496.426,3486.656,0.02,0.02
09.04.2021 08:03:03.147 GMT+0100,3496.262,3484.533,0.02,0.02
09.04.2021 08:03:03.197 GMT+0100,3496.467,3485.697,0.02,0.02
09.04.2021 08:03:03.247 GMT+0100,3496.262,3483.697,0.02,0.02
09.04.2021 08:03:05.982 GMT+0100,3496.1800000000003,3484.738,0.02,0.0075
09.04.2021 08:03:08.282 GMT+0100,3496.5490000000004,3488,0.02,0.0075
09.04.2021 08:03:09.898 GMT+0100,3498.262,3487.697,0.02,0.02
09.04.2021 08:03:10.833 GMT+0100,3498,3488.451,0.02,0.0075
09.04.2021 08:03:15.147 GMT+0100,3498,3489.5740000000005,0.02,0.0075
09.04.2021 08:03:31.174 GMT+0100,3497.385,3486.492,0.02,0.02
09.04.2021 08:03:52.509 GMT+0100,3498.1800000000003,3487,0.02,0.02
09.04.2021 08:03:53.081 GMT+0100,3498.221,3487.451,0.02,0.0075
09.04.2021 08:04:08.404 GMT+0100,3497.385,3487.656,0.02,0.02
09.04.2021 08:04:08.454 GMT+0100,3498.5490000000004,3487.533,0.02,0.02
09.04.2021 08:04:09.268 GMT+0100,3501.303,3490.697,0.02,0.02
09.04.2021 08:04:10.543 GMT+0100,3501.426,3492.6150000000002,0.0075,0.0075
09.04.2021 08:04:10.594 GMT+0100,3503.385,3493.738,0.02,0.02
09.04.2021 08:04:10.856 GMT+0100,3503.508,3496,0.0075,0.0075
09.04.2021 08:04:10.906 GMT+0100,3504.1800000000003,3495.492,0.02,0.02
09.04.2021 08:04:11.236 GMT+0100,3507.221,3495.7790000000005,0.02,0.02
09.04.2021 08:04:11.336 GMT+0100,3508.5490000000004,3495.738,0.02,0.02
09.04.2021 08:04:11.546 GMT+0100,3509.303,3495.5740000000005,0.02,0.02
09.04.2021 08:04:12.187 GMT+0100,3509.385,3497.82,0.02,0.0075
09.04.2021 08:04:14.185 GMT+0100,3508.508,3497.697,0.0075,0.02
09.04.2021 08:04:27.779 GMT+0100,3508.3440000000005,3499.533,0.02,0.0075
09.04.2021 08:04:29.294 GMT+0100,3508.426,3501.451,0.02,0.02
09.04.2021 08:05:03.146 GMT+0100,3505.1800000000003,3501.7790000000005,0.0075,0.0075
09.04.2021 08:05:03.196 GMT+0100,3501.467,3488.451,0.02,0.02
09.04.2021 08:05:04.656 GMT+0100,3500.508,3488.6150000000002,0.0075,0.02
09.04.2021 08:05:04.807 GMT+0100,3500.508,3491.7790000000005,0.02,0.02
09.04.2021 08:05:08.504 GMT+0100,3499,3491.492,0.0075,0.02
09.04.2021 08:05:10.141 GMT+0100,3499.5490000000004,3493.697,0.0075,0.0075
09.04.2021 08:05:10.191 GMT+0100,3501.508,3492.656,0.02,0.02
09.04.2021 08:05:10.242 GMT+0100,3502.426,3492.738,0.02,0.02
09.04.2021 08:05:10.370 GMT+0100,3504.262,3492.5740000000005,0.02,0.02
09.04.2021 08:05:12.083 GMT+0100,3504.303,3493.738,0.02,0.02
09.04.2021 08:05:12.133 GMT+0100,3504,3492.656,0.02,0.02
09.04.2021 08:05:12.556 GMT+0100,3504.426,3494.533,0.02,0.0075
09.04.2021 08:05:13.664 GMT+0100,3504.1800000000003,3498,0.02,0.02
09.04.2021 08:05:40.364 GMT+0100,3503.508,3497.738,0.02,0.02
09.04.2021 08:05:41.302 GMT+0100,3501.262,3497.6150000000002,0.0075,0.0075
09.04.2021 08:05:41.352 GMT+0100,3501.467,3491.451,0.02,0.02
09.04.2021 08:05:41.403 GMT+0100,3502.508,3491.451,0.02,0.02
09.04.2021 08:05:44.680 GMT+0100,3503.385,3491.697,0.02,0.02
09.04.2021 08:05:46.744 GMT+0100,3502,3491.451,0.02,0.02
09.04.2021 08:05:47.877 GMT+0100,3498.426,3491.7790000000005,0.0075,0.02
09.04.2021 08:05:47.928 GMT+0100,3499.508,3489.451,0.02,0.02
09.04.2021 08:06:03.449 GMT+0100,3497.508,3490,0.0075,0.02
09.04.2021 08:06:03.499 GMT+0100,3497.303,3487.492,0.02,0.02
09.04.2021 08:06:03.550 GMT+0100,3496.467,3488,0.02,0.02
09.04.2021 08:06:05.755 GMT+0100,3495.221,3487.533,0.0075,0.02
09.04.2021 08:06:07.322 GMT+0100,3495.262,3485.656,0.02,0.02
09.04.2021 08:06:10.350 GMT+0100,3495.467,3486.5740000000005,0.02,0.02
09.04.2021 08:06:10.488 GMT+0100,3494.508,3486.5740000000005,0.02,0.02
09.04.2021 08:06:12.777 GMT+0100,3494.262,3485.492,0.02,0.02
09.04.2021 08:06:19.360 GMT+0100,3494.1800000000003,3486.6150000000002,0.02,0.02
09.04.2021 08:06:27.865 GMT+0100,3494.262,3485.6150000000002,0.02,0.02
09.04.2021 08:06:29.182 GMT+0100,3494,3486.533,0.02,0.02
09.04.2021 08:06:59.094 GMT+0100,3494.426,3487.656,0.0075,0.0075
09.04.2021 08:06:59.144 GMT+0100,3496.467,3486.656,0.02,0.02
09.04.2021 08:07:00.656 GMT+0100,3496.221,3489.656,0.02,0.0075
09.04.2021 08:07:03.117 GMT+0100,3497.303,3489.697,0.02,0.02
09.04.2021 08:07:03.272 GMT+0100,3499.262,3489.5740000000005,0.02,0.02
09.04.2021 08:07:10.335 GMT+0100,3499,3491.6150000000002,0.02,0.02
09.04.2021 08:07:13.260 GMT+0100,3499.508,3493.697,0.0075,0.0075
09.04.2021 08:07:13.311 GMT+0100,3501.467,3493.7790000000005,0.02,0.02
09.04.2021 08:07:21.877 GMT+0100,3503.385,3493.492,0.02,0.02
09.04.2021 08:07:30.599 GMT+0100,3503.221,3494.6150000000002,0.02,0.0075
09.04.2021 08:07:30.650 GMT+0100,3505.1800000000003,3495.656,0.02,0.02
09.04.2021 08:07:30.724 GMT+0100,3503.3440000000005,3495.533,0.02,0.02
09.04.2021 08:07:35.592 GMT+0100,3504.1800000000003,3495.656,0.02,0.02
09.04.2021 08:07:40.581 GMT+0100,3505.467,3495.533,0.02,0.02
09.04.2021 08:07:56.068 GMT+0100,3505.221,3496.82,0.02,0.0075
09.04.2021 08:07:58.373 GMT+0100,3505.385,3498.738,0.0075,0.0075
09.04.2021 08:07:58.423 GMT+0100,3507.508,3498.6150000000002,0.02,0.02
09.04.2021 08:07:59.166 GMT+0100,3507.467,3497.738,0.02,0.02
09.04.2021 08:07:59.264 GMT+0100,3506.303,3497.451,0.0075,0.02
09.04.2021 08:08:22.465 GMT+0100,3506.467,3498.5740000000005,0.02,0.0075
09.04.2021 08:08:36.509 GMT+0100,3506.426,3500.82,0.02,0.02
09.04.2021 08:08:36.560 GMT+0100,3505.426,3497.82,0.02,0.02
09.04.2021 08:08:36.779 GMT+0100,3506.1800000000003,3500.7790000000005,0.02,0.02
09.04.2021 08:08:59.463 GMT+0100,3505.508,3500.492,0.0075,0.0075
09.04.2021 08:08:59.513 GMT+0100,3505.303,3499.82,0.02,0.02
09.04.2021 08:08:59.564 GMT+0100,3506.5490000000004,3497.492,0.02,0.02
09.04.2021 08:08:59.641 GMT+0100,3506.467,3498.738,0.02,0.0075
09.04.2021 08:08:59.742 GMT+0100,3506.1800000000003,3498,0.02,0.02
09.04.2021 08:08:59.875 GMT+0100,3506.467,3498.451,0.02,0.0075
09.04.2021 08:09:00.527 GMT+0100,3506.385,3498,0.02,0.02
09.04.2021 08:09:01.049 GMT+0100,3506.426,3498.6150000000002,0.02,0.0075
09.04.2021 08:09:01.149 GMT+0100,3506.426,3497.5740000000005,0.02,0.02
09.04.2021 08:09:01.602 GMT+0100,3504.467,3496.451,0.02,0.02
09.04.2021 08:09:01.714 GMT+0100,3505.1800000000003,3497.738,0.02,0.02
09.04.2021 08:09:15.872 GMT+0100,3504.508,3497.697,0.0075,0.02
09.04.2021 08:09:15.923 GMT+0100,3505.303,3497.656,0.02,0.02
09.04.2021 08:09:18.307 GMT+0100,3502.385,3497.5740000000005,0.0075,0.02
09.04.2021 08:09:18.357 GMT+0100,3502,3495.492,0.02,0.02
09.04.2021 08:09:18.564 GMT+0100,3503.1800000000003,3495.533,0.02,0.02
09.04.2021 08:09:18.665 GMT+0100,3503.426,3496.451,0.02,0.02
09.04.2021 08:09:19.349 GMT+0100,3504.221,3496.738,0.02,0.02
09.04.2021 08:09:20.298 GMT+0100,3504.508,3497.492,0.02,0.0075
09.04.2021 08:09:23.099 GMT+0100,3505.5490000000004,3499.7790000000005,0.02,0.0075
09.04.2021 08:09:23.149 GMT+0100,3505.385,3498.492,0.02,0.02
09.04.2021 08:09:33.859 GMT+0100,3505.385,3497.697,0.02,0.02
